SAMPLE_ID,Source,Source_path,Question,Answer
TRAIN_043,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년에 교육재정교부금에서 유아교육비 및 보육료 지원에 할당된 비중은?,4.40%
TRAIN_044,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,교육재정 교부금이란?,"교육의 균형발전을 위해 교육기관 및 교육행정기관 경비를 국가가 교부하는 일반지원금으로, 일반회계 보통・특별교부금, 고교 무상교육 증액분, 특별회계 유아교육비・보육료 지원 교부금 등 4가지로 구성되었다."
TRAIN_045,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,국고보조사업 규모는 2024년에 얼마이며 전년 대비 어떤 증가율을 보이는가?,국고보조사업 규모는 2024년에 89.3조원이며 전년 대비 7.4% 증가하였다.
TRAIN_046,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,특별회계 국고보조금 중 국가균형발전특별회계에서 얼마가 포괄보조금으로 지출되는가?,특별회계 국고보조금 18.2조원 중 10.0조원이 국가균형발전특별회계에서 지출되는 포괄보조금이다.
TRAIN_047,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년의 국고보조사업(자치단체 이전)에서 기금 규모는 얼마인가?,"90,247억원으로 10.1%를 차지하고 있다."
TRAIN_048,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"총사업비 관리대상사업의 규모는 2023년 몇 조원이며, 전년 대비 얼마나 증가했나요?","총사업비 관리대상사업의 규모는 305.0조원이며, 전년 대비 30.7조원 증가했습니다."
TRAIN_049,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"총사업비 관리제도는 어떤 제도이며, 어떤 종류의 사업을 관리하는데 사용되나요?","총사업비 관리제도는 2년 이상이 소요되는 대규모 사업에 대해 사업 규모 및 사업 기간을 미리 정하여 관리하는 제도입니다. 건축・토목 사업은 1994년부터, 정보화 사업은 2010년부터, 연구개발(R&D)사업은 2015년부터 관리하고 있습니다."
TRAIN_050,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,관리재정수지와 통합재정수지의 차이점은 무엇인가?,"관리재정수지는 통합재정수지에서 사회보장성기금 수지를 제외한 정부의 재정상태를 의미한다. 사회보장성기금에는 국민연금기금, 사립학교교직원연금기금, 고용보험기금, 산업재해보상보험 및 예방기금을 포함한다."
TRAIN_051,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,청년층을 위한 주거비용 지원 정책과 산업단지를 청년이 선호하는 환경으로 전환하기 위한 프로젝트에 대해 설명해주세요.,"청년 월세 한시 특별지원을 1년 연장 지원하고, 청년 대상 공공분양 및 공공 임대 등 공공주택 공급을 대폭 확대하였습니다. 또한, 산리단길 프로젝트를 추진하여 기숙사형 오피스텔, 편의시설 등을 조성하는 산단환경개선펀드를 대폭 확대하고, 청년복합문화센터 및 아름다운거리를 조성하였습니다."
TRAIN_052,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,"임신·출산을 희망하는 가구에 어떤 지원이 신규로 이뤄지고 있으며, 고위험 임산부와 미숙아·선천성 이상아의 의료비 지원은 어떻게 이루어지는가?","임신·출산을 희망하는 가구에는 필수가임력(생식건강) 검진비와 냉동난자를 활용한 보조 생식술 비용을 신규로 지원하며, 고위험 임산부와 미숙아·선천성 이상아의 의료비는 소득수준에 관계없이 지원된다."
TRAIN_053,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,농어가 소득과 생활안전망 확충을 위해 어떤 지원이 추가되었는가?,"경작면적이 0.5ha 이하인 소규모 농가에게는 2023년 120만원에서 2024년 130만원으로 직불금이 인상된다. 고령농업인을 위해서는 소유 농지를 청년농 등에게 양도하고 은퇴하는 고령농에게는 ha당 월 50만원의 직불금을 지원하는 농지이양 은퇴직불이 도입되며, 농지연금과 연계해 노후생활안정자금이 추가로 지급된다."
TRAIN_054,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,"전세사기 예방 및 피해자 지원을 위해 어떤 예산이 편성되었으며, 어떤 조직이 운영되고 있는가?","전세사기 예방을 위해 118억원을 편성하였고, 전세사기 피해지원위원회와 전담 대응조직인 전세사기 피해지원단 운영 예산으로 21억원을 편성하였다. 또한, 전세사기피해자들을 구제하기 위해 매입임대 예산으로 7,125억원을 추가하였으며, 정책지원 대출을 통해 전세사기피해자들이 주택을 구입하거나 전세를 마련할 때 6,145억원을 지원할 예정이다."
TRAIN_055,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,"이상기후로 인한 수해 관련 재해 대응을 위해 어떤 시설이 신규 설치되고 있으며, 그 목적은 무엇인가?","빗물저장시설(우수저류시설) 6개소와 하천 수위계 센서에 연계하여 자동으로 출입을 통제하는 시설이 전국 180개소에 구축 중이며, 이는 도심 저지대 침수피해를 예방하고 하상도로 이용자의 인명피해를 최소화하기 위한 목적으로 이루어지고 있다."
TRAIN_056,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,대학의 일반재정지원을 확대하는 이유와 국립대학 및 사립대학의 투자 확대 방식은 무엇인가?,"등록금 동결, 물가 상승 등에 대응하여 대학 일반재정지원을 확대하되, 혁신 성과에 따른 배분 비율을 높여 대학의 자율적 혁신을 유도하기 위함이다. 국립대학은 생활안전, 첨단 기자재 중심으로 투자를 확대하고, 사립대학은 경영자문 컨설팅을 지원하여 체계적 구조개선을 촉진한다."
TRAIN_057,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,"2024년 R&D 분야에 대한 재정투자 규모는 2023년 대비 얼마나 감소했으며, 어떤 분야의 국가전략기술 투자를 확대할 계획인가?","2024년 R&D 분야에 대한 재정투자 규모는 2023년 대비 9.5% 감소한 26.5조원이며, AI·바이오·반도체 등의 분야에 대한 국가전략기술 투자를 확대할 계획입니다."
TRAIN_058,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,우주산업 클러스터 삼각체제 구축사업의 목표와 국가 우주산업 육성 거점 지역은 어디인가?,"우주산업 클러스터 삼각체제 구축사업은 우주경제 시대 대비 민간 주도 우주개발 역량 강화 및 자생적 생태계 조성을 위해 핵심 인프라를 구축하는 플래그십 프로젝트이며, 전남, 경남, 대전을 국가 우주산업 육성 거점으로 지정했다."
TRAIN_059,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,"정부는 어떤 방식으로 스타트업의 글로벌화를 촉진하고 있으며, 국내 스타트업의 글로벌화를 위해 어떤 프로그램이 강화되고 있는가?","정부는 스타트업과 글로벌 기업의 협업 프로그램을 확대하고, 해외투자 유치 후 현지법인 설립 시 지원하는 글로벌 팁스를 신설하며, 국내 팁스기업도 지원을 대폭 확대하고 있다. 또한, 해외 우수 스타트업을 발굴하여 지원하는 K-스카우터 제도를 신설하고, 글로벌 스타트업 센터를 신규 조성하며, 해외 주요 클러스터와의 협업, 국내외 창업인프라와 연결 등을 통해 글로벌 창업을 체계적으로 지원하고 있다."
TRAIN_060,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,한국 정부가 녹색산업 육성 및 해외진출 지원을 강화하기 위해 취하고 있는 조치와 전기차 및 수소차에 대한 정책은 무엇인가?,"한국 정부는 기업 성장단계별 맞춤형 지원을 지속하고 현지 수주지원단 파견, 수출지원 전용 펀드 신규 조성 등 해외진출 지원을 강화하고 있으며, 전기차는 보급형·고성능 차량 중심으로, 수소차는 상용차 중심으로 지원하고 있음."
TRAIN_061,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,국립북한인권센터 건립의 목적과 국제대화를 통해 달성하고자 하는 목표는 무엇인가요?,"국립북한인권센터는 인권을 주제로 한 다양한 전시·체험 콘텐츠 제작 등의 역할을 수행할 예정이며, 북한인권 국제대화를 통해서는 북한인권에 대한 여론을 환기하고 저명한 학자, 민간단체 관계자 등 다양한 이해관계자들이 북한인권을 논의할 수 있는 장을 마련하여 국제적으로도 북한인권 담론을 수행할 계획입니다."
TRAIN_062,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,"2024년도 공공질서 및 안전 분야의 재정투자는 전년도 대비 어떻게 변화했으며, 어떤 분야에 특히 재정투자가 집중되었는가?","2024년도 공공질서 및 안전 분야의 재정투자는 24.4조원으로 2023년도 22.9조원 대비 6.5% 증가하였으며, 마약·스토킹 등 민생침해범죄 예방·대응과 재난·안전 사고에 대한 근본적 예방에 집중적으로 투자하였다."
TRAIN_063,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,"정부재정 지원으로 추진되는 햇살론은 무엇이며, 새출발기금과 청년도약계좌는 어떤 목적으로 마련되었나요?","햇살론은 취약계층 금융지원을 위한 정부재정 지원으로 추진됩니다. 새출발기금은 영세 소상공인·자영업자의 채무부담 경감을 위해, 청년도약계좌는 청년층 자산형성을 위해 각각 마련되고 있습니다."
TRAIN_064,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,일반정부 재정규모란 무엇을 포함하는가?,일반정부 재정규모는 중앙정부·지방정부 및 비영리공공기관의 모든 재정활동을 포함하는 것으로 각국은 국민계정 작성기준에 따라 작성하고 있다.
TRAIN_065,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,장애인 연금이 어떻게 변화했는가?,"장애인 연금은 기초급여가 '23년에 월 32.3만원에서 '24년에 월 33.5만원으로 증가하고, 부가급여도 월 2~7만원에서 '24년에 월 3~8만원으로 증가했다."
TRAIN_066,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,"노인 지원 기초연금은 어떻게 변화했으며, 이에 따른 노인일자리 수와 수당은 어떻게 변화했는가?","노인 지원 기초연금은 '23년에 15,400억원에서 '24년에 20,264억원으로 증가했으며, 노인일자리는 88.3만명에서 103.0만명으로 증가하고 수당은 2~4만원으로 6년 만에 7% 수준으로 인상되었다."
TRAIN_067,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,"원전산업 맞춤형 정책자금이 어떻게 운용되며, 어떤 목적으로 신설되었는가?","2천억원 규모의 원전산업 맞춤형 정책자금(융자 및 보증)을 신설하고, 중소 원전 기자재 업체가 발주사와 공급계약 체결시 조속히 대금을 지급받을 수 있도록 58억원 규모의 선금 보증보험 수수료 지원 사업을 신설한다."
TRAIN_068,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,에너지 신산업 분야에서 어떤 분야의 인프라 투자가 확대되고 있는가?,"에너지 신산업 분야의 경우 그간 지속적인 투자로 인해 여건이 성숙된 태양광 등 신재생에너지 분야 지원은 정상화하되, 수소, CCUS 등 분야의 인프라 투자는 확대한다."
TRAIN_069,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,2024년 정부 예산안에서 출산·양육 부담 경감을 위해 어떤 정책이 시행되고 있는가?,"영아기 양육부담 완화를 위해 부모급여 지급액을 확대하고, 다자녀 가구에 대한 혜택을 확대하는 정책이 시행되고 있다."
TRAIN_070,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,2024년도 예산안에서 돌봄부담 완화를 위해 어떤 조치가 취해졌는가?,"시간제보육 제공기관을 2023년 1,030개소에서 2024년 2,315개소로 확대하여 틈새돌봄을 확대하고, 아이돌봄 지원가구를 확대하고, 다자녀 가구의 아이돌보미 서비스 이용요금을 10% 할인하여 부담을 완화한다."
TRAIN_071,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,한국 정부가 외국인투자 및 국내복귀 투자에 대한 인센티브를 강화하는 이유는 무엇인가?,글로벌 공급망 재편 과정에서 우리나라가 대안 투자처가 될 수 있도록 하기 위해서이다.
TRAIN_072,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,청년농업인을 위해 어떤 방식으로 농지를 공공임대하고 있는가?,"농지은행이 보유한 비축농지를 저렴하게 공공임대하는 물량을 (2023년) 1,875ha→(2024년) 2,500ha로 대폭 확대하는 한편, 농지 매입단가를 (2023년) 408백만원→(2024년) 428백만원으로 인상한다."
TRAIN_073,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,농업의 생산성을 높이고 노동 투입량을 줄이기 위해 어떤 방안을 추진하고 있는가?,"스마트농업을 육성하고 농업 자동화 및 데이터 기반 스마트팜 확산을 추진하고 있으며, 임대형 스마트팜과 스마트온실을 구축하여 청년농에게 장기 임대하는 등의 방안을 추진하고 있다."
TRAIN_074,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,한국의 국방 강화를 위해 어떤 무기체계 전력화 강화에 중점을 두고 투자하고 있는가?,"북 핵·미사일 위협 대비 압도적 대응능력 구축을 위해 킬체인(F-X 2차, 한국형구축함 등), 다층 미사일 방어(장거리함대공유도탄, 장거리지대공유도무기-Ⅱ 등), 압도적 대량 응징(230㎜급다련장, 특수작전용대형기동헬기 등) 등 무기체계 전력화 강화에 중점 투자한다(6.1조원→6.8조원)."
TRAIN_075,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,어떤 목적으로 '동료지원쉼터' 운영이 제도화되었는가?,"정신질환자들이 장기 입원을 하지 않고 지역사회에서 상담, 휴식 등 서비스를 제공받으면서 자연스럽게 지역사회에 정착하고 회복할 수 있도록 추진하기 위해."
TRAIN_076,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,"재난대응 체계를 구축하기 위해 어떤 예산 증액이 이루어졌으며, 그 목적은 무엇인가?","산사태취약지역 기초조사 및 산사태 발생 우려지역 실태조사 예산이 62억원에서 110억원으로 확대되었고, 산지사방, 계류보전, 산림유역관리 등 사방사업 투자 예산이 2,210억원에서 2,510억원으로 확대되어 국민의 생명과 재산을 보호하는 데 주력하기 위함이다."
TRAIN_077,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,예산 증감률이 가장 높은 분야는 무엇인가요?,외교·통일 분야가 17.7%로 예산 증감률이 가장 높습니다.
TRAIN_078,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,국방 분야의 예산은 '23년 대비 '24년 어떻게 변했나요?,국방 분야의 예산은 '23년에 57.0조원에서 '24년에 59.4조원으로 2.4조원 증가하여 4.2% 증가했습니다.
TRAIN_079,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,R&D 분야의 예산은 '23년 대비 '24년 어떻게 변했나요?,R&D 분야의 예산은 '23년에 31.1조원 '24년에 26.5조원으로 4.5조원 감소하여 14.6% 감소했습니다.
TRAIN_080,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,최중증 발달장애인을 위한 돌봄 체계 구축을 위해 어떤 변화가 있었나요?,"최중증 발달장애인을 위한 돌봄 체계 구축을 위해 1:1 돌봄 체계가 도입되었고, 기존 돌봄 서비스인 발달장애인 주간활동과 장애인 활동지원이 확대되었으며, 장애인 연금 부가급여도 인상되었습니다."
